Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
100,-31.60002655512979,-153.4671848456446
111.95,-31.13056768595537,-159.1744426649385
123.9,-30.80169850865386,-164.7326194813203
135.85,-30.48303957556332,-170.2272048325235
147.8,-30.22001297699574,-175.5449980339673
159.75,-29.98696998462541,179.5398641791816
171.7,-29.81311086942943,175.0044672479081
183.65,-29.68918437391348,170.1008033412933
195.6,-29.51511284839858,165.62952014491
207.55,-29.4302684545462,161.4743921089523
219.5,-29.4121342060758,157.5559380893844
231.45,-29.31616774646695,153.412160796729
243.4,-29.26297609732621,149.4928322834443
255.35,-29.20686377585109,145.5542965213411
267.3,-29.18106122909828,141.9004625088903
279.25,-29.14565243204358,138.3075996075301
291.2,-29.13826107025674,134.614407716368
303.15,-29.12578611394104,131.0486261388096
315.1,-29.09704985487099,127.7083480292633
327.05,-29.14232240352807,124.3926557056282
339,-29.11900327810879,120.689623295482
350.95,-29.13816216923042,117.3667817221465
362.9,-29.15012058762478,113.9136068569704
374.85,-29.1942293140731,110.6516743560119
386.8,-29.17222998021253,107.493659453825
398.75,-29.19818286033493,104.0570081237645
410.7,-29.25117178822641,100.8639160068969
422.65,-29.2711983981189,97.72361287642912
434.6,-29.31338606281349,94.56924383458406
446.55,-29.34105076233812,91.31487701312506
458.5,-29.38256507998968,88.34814991881638
470.45,-29.43626299653828,85.11427738061121
482.4,-29.49785880713938,81.92350848759514
494.35,-29.50412413232437,79.00368283530071
506.3,-29.57203173677385,75.90035156600871
518.25,-29.63465357989376,72.87392962816723
530.2,-29.69134262690622,69.79438076982274
542.15,-29.74229755702765,66.7942054340981
554.1,-29.80745779435302,63.6899534199217
566.05,-29.84960929382207,60.65568028308063
578,-29.90052730087796,57.67549502571968
589.95,-29.99625829566966,54.55250931614829
601.9,-30.04950515011124,51.66444093896729
613.85,-30.11886643356634,48.76998928329408
625.8,-30.2089490037052,45.85314633588332
637.75,-30.28227687421066,42.69338670814889
649.7,-30.35514390875603,39.82423930529615
661.65,-30.43036323174751,36.78418892445897
673.6,-30.50761876831512,33.93796301783386
685.55,-30.60869294697433,31.02872102769715
697.5,-30.67302288751846,27.99021690666055
709.45,-30.80084752561763,25.01619294214285
721.4,-30.8736562612416,22.07584828375636
733.35,-30.98015472335411,19.11099376426002
745.3,-31.04857936072343,16.13916842184247
757.25,-31.12917024507908,13.15269733197346
769.2,-31.25794012341536,10.40960377277054
781.15,-31.37453075671875,7.556638805192918
793.1,-31.4530645291896,4.474246171822642
805.05,-31.60816367647202,1.747736068944874
817,-31.76992392236161,-1.202258323173226
828.95,-31.83333961965195,-4.236177440871174
840.9,-31.95703194767657,-7.115078877724132
852.85,-32.08659712237535,-10.04156903354843
864.8,-32.23997866554173,-12.64415692064708
876.75,-32.35684380590912,-15.63148851223803
888.7,-32.44769000014821,-18.83817534698645
900.65,-32.61917371663468,-21.51042629859649
912.6,-32.75201254673045,-24.54230415828036
924.55,-32.88338193151245,-27.47873835112335
936.5,-33.07734873768276,-29.94135278338828
948.45,-33.21401439647539,-32.94936854321606
960.4,-33.40576323874524,-36.07704702233286
972.35,-33.56559596260204,-38.74623600701369
984.3,-33.73079325227188,-41.53968249872371
996.25,-33.88252257481466,-44.51347092115361
1008.2,-34.00677597482299,-47.7758161643894
1020.15,-34.23591050624974,-50.52663270218535
1032.1,-34.46618484816884,-53.25266624663447
1044.05,-34.70407330012281,-56.04217672170267
1056,-34.8339593992663,-59.25405100159895
1067.95,-35.06115779998842,-62.21616247715497
1079.9,-35.27620059483414,-64.94649826796331
1091.85,-35.45469705546884,-67.86916999172665
1103.8,-35.66712532564985,-70.81559271474167
1115.75,-35.95647390304129,-73.56373332283621
1127.7,-36.22727198074831,-76.85374535466376
1139.65,-36.42735291818581,-79.56021968668074
1151.6,-36.711538929978,-82.03889320889402
1163.55,-36.92616234302418,-85.64174671724513
1175.5,-37.20450347615323,-88.34068548647051
1187.45,-37.49662418762524,-91.60418774592756
1199.4,-37.76231980985231,-94.46113590716598
1211.35,-38.14337941572274,-97.60592994558112
1223.3,-38.41332019383943,-100.2472546295844
1235.25,-38.79904462151345,-103.661512284148
1247.2,-39.11928822566654,-106.422808481785
1259.15,-39.43949326543027,-109.5174954147759
1271.1,-39.96468284888974,-112.8346045103952
1283.05,-40.2827022165485,-115.6788944269348
1295,-40.69921594110534,-118.8561343778166
1306.95,-41.27654782592185,-122.369223413461
1318.9,-41.80138427306876,-125.33492546493
1330.85,-42.04411046026959,-127.9181949414877
1342.8,-42.82913321682859,-133.1928556172514
1354.75,-43.27511246850342,-135.8883497225368
1366.7,-43.91572453010441,-136.6645493659959
1378.65,-44.33475814043853,-143.5095393838621
1390.6,-45.08884390400914,-144.542742985211
1402.55,-46.27128715253931,-147.9415764193425
1414.5,-46.51633024677147,-152.3981469087158
1426.45,-47.25647555485148,-159.6883327282876
1438.4,-49.19127475159254,-158.6276204941611
1450.35,-50.31574528007263,-163.7257406736395
1462.3,-50.87022754651134,179.8558099059543
1474.25,-51.69467708759254,176.3716439892743
1486.2,-53.24580825207715,170.6830016274856
1498.15,-56.8007429988529,163.7618064374552
1510.1,-58.40752260838131,154.3155971506578
1522.05,-58.13426949310907,90.50025904436546
1534,-59.58979672035062,69.97136741140592
1545.95,-57.13411472317368,72.59163420927682
1557.9,-55.9533176305532,59.10817825245542
1569.85,-54.01779951248291,26.47594434161594
1581.8,-51.18570008652225,22.83525646368641
1593.75,-51.22649496840186,24.57719224091254
1605.7,-50.17126399309566,17.00728930362514
1617.65,-47.31812807721701,9.293877850403646
1629.6,-46.81407627567292,8.547106085956742
1641.55,-45.84948992023388,-1.6773970513932
1653.5,-45.5224390962131,-6.584688230271638
1665.45,-45.10064308556375,-3.880847683630122
1677.4,-44.6540416704825,-12.76557495444588
1689.35,-43.13904877920783,-15.25086699720913
1701.3,-42.91238335908059,-20.52671295034142
1713.25,-42.44008947155251,-22.82808843150437
1725.2,-42.22581171896707,-25.71679347834824
1737.15,-41.38944456804992,-30.02862327499611
1749.1,-41.21430954319348,-30.40758095060905
1761.05,-40.42200234212699,-34.65166688311135
1773,-40.07218209994633,-38.70414784588494
1784.95,-39.55099627371735,-40.84234586822782
1796.9,-39.42230114320689,-43.83841324524036
1808.85,-38.84901312532549,-46.06078682817314
1820.8,-38.71366735340163,-48.88714998818178
1832.75,-38.17690743417579,-51.59528112988076
1844.7,-38.09834236586961,-54.64401222446951
1856.65,-37.78258298839093,-58.51292734474754
1868.6,-37.55802679741697,-60.84214538890869
1880.55,-37.05688526053817,-63.5266794910013
1892.5,-36.9434054950232,-67.58588974016953
1904.45,-36.6836577958818,-69.61079047256558
1916.4,-36.47856429831662,-72.78266570198042
1928.35,-36.15664726990543,-75.52172257598247
1940.3,-35.8500456926426,-78.79798620656483
1952.25,-35.63558945297701,-81.52850072398805
1964.2,-35.44858707431656,-84.49888704216617
1976.15,-35.17930524087279,-87.25421463052163
1988.1,-35.05612795113611,-90.06415682287292
2000.05,-34.82324131735328,-93.09364793020583
2012,-34.62519926057461,-96.00758790994989
2023.95,-34.37516789652921,-98.79312809450357
2035.9,-34.16545555611729,-101.8097568594125
2047.85,-34.06784473309351,-104.7155206352334
2059.8,-33.91660240083893,-106.8024893596681
2071.75,-33.71536794599051,-110.4209985895494
2083.7,-33.56308820461084,-112.949151013668
2095.65,-33.43238228332131,-115.9021406889966
2107.6,-33.14861760069749,-118.8432297463002
2119.55,-33.05619004346612,-121.2061530046414
2131.5,-32.85949847069786,-124.0710974080664
2143.45,-32.74123934877588,-126.8323246478866
2155.4,-32.66407990511929,-129.7562602851234
2167.35,-32.51400449098335,-132.6128000620812
2179.3,-32.38338991049398,-135.6935933019743
2191.25,-32.23361021521604,-138.4926672094353
2203.2,-32.15128668284974,-140.9917112457385
2215.15,-31.99411749445402,-143.8917061808486
2227.1,-31.86349747182287,-146.7276215926881
2239.05,-31.79434386320237,-149.7858932308881
2251,-31.63787756357553,-152.7228609176524
2262.95,-31.53088413832251,-155.2743644174807
2274.9,-31.41377031070128,-158.021844202693
