Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
10,-77.04643936355673,-174.6147132795704
33.98999999999999,-89.97957202949216,150.9551201380312
57.98,-71.57781909377633,107.7168009578916
81.97,-81.80935685598014,-59.423497907051
105.96,-66.89426340745523,-13.79057304842141
129.95,-84.64501149603453,-159.5383626873063
153.94,-81.75906956957076,103.3538660615131
177.93,-82.44083492865416,28.11361072063171
201.92,-72.99424987057128,-173.1203475379965
225.91,-78.96687483490741,51.22024373333274
249.9,-80.95510901872615,156.938925679097
273.89,-83.05702370950209,63.2301982046347
297.88,-87.471864174454,21.49082810441372
321.87,-80.46267333089051,-129.7991485096603
345.86,-90.611544163877,28.31784101815583
369.85,-89.44509380793157,179.9428207899075
393.84,-83.76470271590009,35.87513283086988
417.83,-78.60477911892167,-134.4142871171381
441.82,-89.67589414320827,66.77037426574203
465.81,-82.57831365921113,55.29569267758525
489.8,-84.83558001722355,-38.79839816525052
513.79,-83.68771253532566,-126.4695583299921
537.78,-79.31049882711521,-119.8243725795811
561.77,-83.65591383799719,110.8329058098817
585.76,-91.6409489448591,160.4242531062166
609.75,-78.72626172487298,8.08499481280125
633.74,-77.50462570669325,37.91401806190174
657.73,-78.98232754468174,131.0536782310752
681.72,-82.01269317902566,88.94209962556477
705.71,-81.88284086410675,127.9546317179909
729.7,-78.73447308077688,92.93448852673239
753.6900000000001,-90.20266951128229,-14.74782620840591
777.6799999999999,-80.83022435932673,7.739884423192704
801.67,-71.69806162752658,103.1312259999696
825.66,-72.76703326946505,-79.6499184630689
849.65,-72.50196062515757,136.1285865511847
873.64,-73.69881177544995,-154.7543811178273
897.63,-74.52141600231896,-157.0692337103193
921.62,-73.15562202148242,-153.1269830774524
945.61,-78.16198178291884,37.86104337990822
969.6,-82.87701911962264,-159.0333743567305
993.59,-81.41805062563895,-137.7972897655234
1017.58,-83.15330103565842,79.2757163111053
1041.57,-88.61844100373625,138.3202024578899
1065.56,-107.8421922771408,2.594837452944085
1089.55,-81.80020322930282,-143.1290816570804
1113.54,-75.0364769548826,119.5051124235112
1137.53,-85.54057755727132,-141.2441135633834
1161.52,-77.43122430657334,-68.82898894291316
1185.51,-77.65474029302348,155.9718307237736
1209.5,-81.29487161473229,170.4176410449558
1233.49,-86.93846636877224,-14.87981815862653
1257.48,-88.0426150158091,153.5982192592809
1281.47,-74.63196683870861,40.22895469396009
1305.46,-88.31887973802498,66.71673374698368
1329.45,-78.66591321341333,-139.5054334066922
1353.44,-84.81999419191924,58.26073031096556
